ID,Size,Maze Type,Orientation,Agent Type,Symmetry,Density,Dead Ends,Solution Path Length,Average Episodes
11x15_BT_1,"(11, 15)",BinaryTree,Vertical,Q-Student,0.12,0.57,6,8,10
11x15_BT_1,"(11, 15)",BinaryTree,Vertical,Q-Explorer,0.12,0.57,6,8,42
11x15_BT_2,"(11, 15)",BinaryTree,Vertical,Q-Determinative,0.26,0.6,15,12,33
11x15_BT_2,"(11, 15)",BinaryTree,Vertical,Q-Student,0.26,0.6,15,12,14
11x15_BT_2,"(11, 15)",BinaryTree,Vertical,Q-Explorer,0.26,0.6,15,12,95
11x15_BT_3,"(11, 15)",BinaryTree,Vertical,Q-Determinative,0.12,0.59,11,10,317
11x15_BT_3,"(11, 15)",BinaryTree,Vertical,Q-Student,0.12,0.59,11,8,1741
11x15_BT_3,"(11, 15)",BinaryTree,Vertical,Q-Explorer,0.12,0.59,11,6,2064
11x15_DFS_1,"(11, 15)",DFS,Vertical,Q-Determinative,0.17,0.58,6,30,121
11x15_DFS_1,"(11, 15)",DFS,Vertical,Q-Student,0.17,0.58,6,30,49
11x15_DFS_1,"(11, 15)",DFS,Vertical,Q-Explorer,0.17,0.58,6,30,186
11x15_DFS_2,"(11, 15)",DFS,Vertical,Q-Determinative,0.17,0.58,7,32,130
11x15_DFS_2,"(11, 15)",DFS,Vertical,Q-Student,0.17,0.58,7,32,56
11x15_DFS_2,"(11, 15)",DFS,Vertical,Q-Explorer,0.17,0.58,7,32,240
11x15_DFS_3,"(11, 15)",DFS,Vertical,Q-Determinative,0.17,0.58,6,32,124
11x15_DFS_3,"(11, 15)",DFS,Vertical,Q-Student,0.17,0.58,6,32,51
11x15_DFS_3,"(11, 15)",DFS,Vertical,Q-Explorer,0.17,0.58,6,32,226
11x17_AB_1,"(11, 17)",AldousBroder,Vertical,Q-Determinative,0.12,0.58,12,28,84
11x17_AB_1,"(11, 17)",AldousBroder,Vertical,Q-Student,0.12,0.58,12,28,44
11x17_AB_1,"(11, 17)",AldousBroder,Vertical,Q-Explorer,0.12,0.58,12,28,223
11x17_AB_2,"(11, 17)",AldousBroder,Vertical,Q-Determinative,0.12,0.58,13,24,63
11x17_AB_2,"(11, 17)",AldousBroder,Vertical,Q-Student,0.12,0.58,13,24,35
11x17_AB_2,"(11, 17)",AldousBroder,Vertical,Q-Explorer,0.12,0.58,13,24,212
11x17_AB_3,"(11, 17)",AldousBroder,Vertical,Q-Determinative,0.12,0.58,13,22,92
11x17_AB_3,"(11, 17)",AldousBroder,Vertical,Q-Student,0.12,0.58,13,22,32
11x17_AB_3,"(11, 17)",AldousBroder,Vertical,Q-Explorer,0.12,0.58,13,22,177
11x17_BT_1,"(11, 17)",BinaryTree,Vertical,Q-Determinative,0.12,0.59,13,8,18
11x17_BT_1,"(11, 17)",BinaryTree,Vertical,Q-Student,0.12,0.59,13,8,9
11x17_BT_1,"(11, 17)",BinaryTree,Vertical,Q-Explorer,0.12,0.59,13,8,39
11x17_BT_2,"(11, 17)",BinaryTree,Vertical,Q-Determinative,0.12,0.61,16,22,61
11x17_BT_2,"(11, 17)",BinaryTree,Vertical,Q-Student,0.12,0.61,16,22,30
11x17_BT_2,"(11, 17)",BinaryTree,Vertical,Q-Explorer,0.12,0.61,16,22,153
11x17_BT_3,"(11, 17)",BinaryTree,Vertical,Q-Determinative,0.12,0.59,13,10,20
11x17_BT_3,"(11, 17)",BinaryTree,Vertical,Q-Student,0.12,0.59,13,10,14
11x17_BT_3,"(11, 17)",BinaryTree,Vertical,Q-Explorer,0.12,0.59,13,10,55
11x17_DFS_1,"(11, 17)",DFS,Vertical,Q-Determinative,0.12,0.58,5,32,129
11x17_DFS_1,"(11, 17)",DFS,Vertical,Q-Student,0.12,0.58,5,32,58
11x17_DFS_1,"(11, 17)",DFS,Vertical,Q-Explorer,0.12,0.58,5,32,261
11x17_DFS_2,"(11, 17)",DFS,Vertical,Q-Determinative,0.12,0.58,6,36,154
11x17_DFS_2,"(11, 17)",DFS,Vertical,Q-Student,0.12,0.58,6,36,63
11x17_DFS_2,"(11, 17)",DFS,Vertical,Q-Explorer,0.12,0.58,6,36,279
11x17_DFS_3,"(11, 17)",DFS,Vertical,Q-Determinative,0.12,0.58,5,56,328
11x17_DFS_3,"(11, 17)",DFS,Vertical,Q-Student,0.12,0.58,5,56,165
